QTY,Description,Note/Carrier,Face or Leg,Offset Type,Horizontal,Lateral,Vertical,Azimuth Adjustment(degree),Placement(ft),CaAa Front (No Ice) ft^2,"CaAa Front (1/2"" Ice) ft^2",CaAa Side (No Ice) ft^2,"CaAa Side (1/2"" Ice) ft^2",Weight (No Ice) Weight,"Weight (1/2"" Ice) Weight"
0,"(2) SBNHH-1D6SC w/ I,Mount Pipe,(Venzon)",Venzon,B,From Leg,3.00,0.00,0.00,0.0000,257.00,11.63,12.35,9.79,11.31,2.00,172.00
1,"(2) SBNHH-1D65C w/ C,Mount Pipe,(Venzon)",Venzon,Cc,From Leg,3.00,0.00,0.00,0.0000,257.00,11.63,12.35,9.79,11.31,82.00,172.00
2,"Ericsson 4449 $,(Verizon)",Verizon,A,From Leg,3.00,0.00,0.00,0.0000,257.00,3.26,3.50,1.38,1.56,50.00,71.47
3,"Encsson 4449 z,(Verizon)",Verizon,3B,rrom Leg,3.00,0.00,0.00,,,3.26,3.50,1.38,1.56,20.00,7147
4,"Stand-off Arm $,(Lawrence County)",,A,From Leg,0.00,1.00,0.00,0.0000,205.00,8.23,3.30,8.23,3.50,108.88,100.00
5,"Rri America CCS07-05-P z,(Lawrence County)",,3B,rrom Leg,2.00,0.00,0.00,,,6.90,7.56,6.90,7.56,27.00,63.95
6,"(2) SBNHH-1D65C w/ F:,Mount Pipe,(Verizon)",Verizon,A,From Leg,3.00,0.00,0.00,0.0000,257.00,11.63,12.35,9.79,11.31,2.00,172.00
7,"(2) SBNHH-1D65C w/ C,Mount Pipe,_ (Verizon) — ,",Verizon,Cc,From Leg,3.00,0.00,0.00,,,11.63,12.35,9.79,11.31,2.00,172.00
8,"Stand-off Arm $,(Lawrence County)",,A,From Leg,0.00,1.00,0.00,0.0000,205.00,.25,3.30,8.23,3.50,103.35,100.00
9,"(2) SBNHH-1D65C w/ é,Mount Pipe",,A,From Leg,3.00,0.00,0.00,,,11.03,12.35,9.79,11.31,82.00,172.00
10,"RFI America CC807-08-P s,(Lawrence County)",,A,From Leg,2.00,0.00,0.00,0.0000,205.00,6.90,7.56,6.90,7.56,27.00,63.95
11,"Stand-off Arm $,(Lawrence County)",,A,From Leg,1.00,0.00,0.00,0.0000,205.00,3.50,4.20,3.50,4.20,100.00,125.00
12,"Stanc-of Am J,(Lawrence County)",,A,From Leg,1.00,0.00,0.00,0.0000,205.00,3.0,4.20,3.50,4.20,100.00,125.00
13,"(Venzon),Ericsson RRUS 32 KRC 161 I,4161 @4)",Venzon,B,From Leg,0.00,3.00,0.00,0.0000,257.00,3.87,3.34,2.46,1.99,102.98,60.00
14,"(Verizon),Ericsson RRUS 32 KRC 161 ¢,416/1 @4)",Verizon,Cc,From Leg,0.00,3.00,0.00,0.0000,257.00,3.87,3.34,2.46,1.99,102.98,60.00
15,"AOL America UL OU s/-U5-P é,(Lawrence County),Pr, § _ FA J",,a," srom lez
, 7 >... FF .",0.00,0.00,,,,0.30,7.56,0.9,7.56,21,63.95
16,"Filtronic SGGOxx-P-CMU I,(Lawrence County)",,B,From Leg,0.00,2.00,0.00,0.0000,193.00,8.23,0.51,8.23,0.19,108.88,8.00
17,"Stand-off Arm :,(Lawrence County)",,B,From Leg,0.00,1.00,0.00,0.0000,193.00,0.70,3.30,0.32,3.50,17.04,100.00
18,4' Lighming Rod,,A,From Leg,0.000,0.000,2.000,0.0000,300.000,0.590,0.610,0.590,0.610,0.008,0.010
19,4 Lighming Rod,,A,FromLeg,0.000,0.000,2.000,0.0000,300.000,0.590,0.610,0.590,0.610,0.008,0.010
20,Small Red Lights,,A,None,,,,0.0000,200.000,0.700,0.700,0.700,0.700,0.009,0.012
21,Small Red Lights,,B, FrmLeg,1.500,0.000,0.000,0.0000,200.000,0.700,0.700,0.700,0.700,0.009,0.012
22,Small Red Lights,,C, FromLeg,1.500,0.000,0.000,0.0000,200.000,0.700,0.700,0.700,0.700,0.009,0.012
23,Small Red Lights,,B, FromLeg,1.500,0.000,0.000,0.0000,100.000,0.700,0.700,0.700,0.700,0.009,0.012
24,? Liste 0d,,a,£SNMLAS,0.000,2.000,,,,.,0.610,0.610,0.630,.,0.010
25,omall Ned Lights,,5S,# fromleg,1.000,0.000,0.000,0.0000,0.000,0.700,0.700,.700,0.700,.009,0.012
26,>mali Red Lignts,,C, #$Fromleg,1500,0.000,0.000,0.0000,200.000,0.700,0.700,0.700,0.700,0.009,0.012
27,Small Red Lights,,B,From Leg,1.500,0.000,0.000,0.0000,100.000,0.700,0.700,0.700,0.700,0.009,0.012
28,"Sector Frame,(ATT)",ATT,B, Fromleg,0.000,1.750,0.000,0.0000,298.000,16.000,8.000,16.290,8.250,0.640,0.340
